reference,generated,num_chunks,chunk_summaries
"– Denis Finley has taken to Twitter to call Politico a ""whore,"" sniff about David Letterman's upcoming Netflix show featuring Barack Obama, and call for the destruction of all office buildings, but it was his tweets about a potential change to Vermont's driver's licenses that cost him his job as editor of the Burlington Free Press. The paper reports Finley was fired by honchos at parent company Gannett on Monday evening after he was found to have repeatedly flouted its social media rules. ""We encourage our journalists to engage in a meaningful dialogue on social media, but ... the conversation [should] adhere to our overarching values of fairness, balance, and objectivity,"" says an exec from the USA Today Network, Gannett's main brand. Poynter explains Finley's demise came after he reacted to Vermont's proposal to add the gender option ""X"" to ""F"" and ""M"" on driver's licenses. The Washington Post documents the Twitter exchange between commenters who were lauding Vermont's decision and Finley. After one user noted the news was ""awesome,"" Finley replied: ""Awesome! That makes us one step closer to the apocalypse."" When someone else tweeted the recognition of different genders was awesome, Finley wrote: ""All recognition? … What if someone said it's awesome they are going to recognize pedophiliacs on licenses? I'm not being snarky, I'm just asking."" Poynter notes some readers threatened to cancel their Free Press subscriptions over the tweets. ""'Reader engagement' is not making provocative statements and then picking fights with people who disagree,"" an editor for a string of other local Vermont papers says. Emilie Stigliani, the Free Press' planning editor, will temporarily step in as Finley's replacement.","– President Trump's decision to recognize Jerusalem as Israel's capital has set off a wave of criticism on the left and right. Here's a look at some of the most prominent critics: Rush Limbaugh, Fox News: ""The president of the United States has just declared war on Israel. This is a war we should be fighting all over again."" Newt Gingrich, former House speaker: ""Trump's declaration of Jerusalem as the capital of Israel is a declaration of war on every Jewish person in this country."" Marco Rubio, Florida senator: ""It's time to end the war in Israel. It's       – Northwestern Mutual's new ad campaign for the College Football Playoff is drawing attention for its focus on women and families, reports Poynter. The insurance giant's spot features a young couple having a baby and talking about how they're ""prominent spokespeople"" for the company. ""We're trying to reach as many women as we possibly can,"" says a marketing exec. The spot is generating buzz because it's one of the first to target women, notes Adweek.",8,"['– President Trump\'s decision to recognize Jerusalem as Israel\'s capital has set off a wave of criticism on the left and right. Here\'s a look at some of the most prominent critics: Rush Limbaugh, Fox News: ""The president of the United States has just declared war on Israel. This is a war we should be fighting all over again."" Newt Gingrich, former House speaker: ""Trump\'s declaration of Jerusalem as the capital of Israel is a declaration of war on every Jewish person in this country."" Marco Rubio, Florida senator: ""It\'s time to end the war in Israel. It\'s', '', '', '', '', '', '', '– Northwestern Mutual\'s new ad campaign for the College Football Playoff is drawing attention for its focus on women and families, reports Poynter. The insurance giant\'s spot features a young couple having a baby and talking about how they\'re ""prominent spokespeople"" for the company. ""We\'re trying to reach as many women as we possibly can,"" says a marketing exec. The spot is generating buzz because it\'s one of the first to target women, notes Adweek.']"
"– CNN's Piers Morgan thinks gun-rights proponent Alex Jones's memorable appearance on his show last night made a fine case—for his opponents. ""He was the best advertisement for gun control you could wish for,"" Morgan tells Politico, referring to the conservative radio host. ""That kind of vitriol, hatred, and zealotry is really quite scary."" Jones is the guy who started the White House petition to get Morgan deported because of the CNN host's push for stricter gun laws. The White House last night promised to respond to the petition because it easily surpassed the threshold of 25,000 signatures, notes the Daily Caller. But ""it is worth remembering that the freedom of expression is a bedrock principle in our democracy,"" said spokesman Jay Carney, suggesting Jones better not hold his breath. Jones himself, meanwhile, posted a video after his CNN appearance, telling supporters that ""if something happens to us, or we’re killed by crackheads, it was the NYPD or mafia they hired,"" reports Mediaite. Yeah, that's right: “If you don’t know that (Mayor) Bloomberg is total mafia, you’re on another planet."""," – Piers Morgan is taking Alex Jones' anti-gun rhetoric to a whole new level: He's calling for a ban on assault-style weapons and high-capacity magazines. ""I think America is getting diluted to the horror of these things: it's become too casual, too widespread, too indiscriminate, and incredibly dangerous,"" he said on his Daily Show show today. ""Something has to be done."" Jones, for his part, said that he's ""shocked and appalled"" by Morgan's comments, and that he wants to ""keep this issue boiling along until the politicians act on it."" Morgan, however, noted that his comments were taken out of context: ""I'm not calling for an end to assault weapons, I'm just saying we need to get rid of them."" ",3,"['', '– Piers Morgan is taking Alex Jones\' anti-gun rhetoric to a whole new level: He\'s calling for a ban on assault-style weapons and high-capacity magazines. ""I think America is getting diluted to the horror of these things: it\'s become too casual, too widespread, too indiscriminate, and incredibly dangerous,"" he said on his Daily Show show today. ""Something has to be done."" Jones, for his part, said that he\'s ""shocked and appalled"" by Morgan\'s comments, and that he wants to ""keep this issue boiling along until the politicians act on it."" Morgan, however, noted that his comments were taken out of context: ""I\'m not calling for an end to assault weapons, I\'m just saying we need to get rid of them.""', '']"
"– New White House communications director Anthony Scaramucci was not happy about what he believed was a leak of information from his financial disclosure Wednesday—though it later emerged that the form was available to the public. ""In light of the leak of my financial disclosure info which is a felony. I will be contacting @FBI and @TheJusticeDept #swamp @Reince45,"" Scaramucci said in a now-deleted tweet, per the Daily Beast. Scaramucci later denied suggestions that his tagging of Reince Priebus was a declaration of war on the White House chief of staff. ""Wrong! Tweet was public notice to leakers that all Sr Adm officials are helping to end illegal leaks,"" Scaramucci said in a second tweet. The disclosure information believed to have enraged Scaramucci appeared in a Politico report late Wednesday. According to the report, Scaramucci earned $4.9 million from his ownership stake in the SkyBridge Capital plus more than $5 million in salary from Jan. 1, 2016, to the end of June this year, when he began a short-lived stint at the federal Export-Import Bank. The New York Times notes that Scaramucci filed the disclosure form June 23 and under federal law, it would have been available to the public 30 days later. ""They aren't in process yet,"" Scaramucci wrote to the Times after being asked why he thought the report had been leaked. He didn't respond after being told it would have been available July 23.","– New White House communications director Anthony Scaramucci took to Twitter Wednesday night to threaten the FBI with a felony charge over a supposed leak of information. ""In light of the leak of my financial disclosure info which is a felony. I will be contacting the FBI and the Justice Department,"" he tweeted, tagging White House Chief of Staff Reince Priebus. It's not clear what information was leaked, but Politico reported last month that the incoming communications director's required financial disclosure showed he earned $4.9 million from his ownership stake in investment firm SkyBridge since last year.    ",5,"['– New White House communications director Anthony Scaramucci took to Twitter Wednesday night to threaten the FBI with a felony charge over a supposed leak of information. ""In light of the leak of my financial disclosure info which is a felony. I will be contacting the FBI and the Justice Department,"" he tweeted, tagging White House Chief of Staff Reince Priebus. It\'s not clear what information was leaked, but Politico reported last month that the incoming communications director\'s required financial disclosure showed he earned $4.9 million from his ownership stake in investment firm SkyBridge since last year.', '', '', '', '']"
"– Scientists say they have the first physical evidence of a grisly truth from Jamestown: Colonists in the brutal winter of 1609 resorted to cannibalism, reports USA Today. Anthropologists studying the partial remains of a teenage girl—including her skull, jaw, and leg bone—say they bear the unmistakable marks of a cleaver and knife, reports the Washington Post. She had been, for lack of a better word, butchered. “Historians have to decide whether this type of thing happened,” says one of the Smithsonian scientists who worked on the project. “I think that it did. We didn’t see anybody eat this flesh, but it’s very strong evidence.” It's not clear whether the girl was a servant or perhaps the daughter of a colonist, or whether she was killed to be eaten or eaten after she died. Forensic scientists have re-created her face, though she will likely remain forever unidentified.",   ,4,"['', '', '', '']"
"– Scientists are calling it a breakthrough and a turning point: In a new study, a compound successfully halted brain cell death in mice, meaning we're one step closer to a pill that can treat Alzheimer's, the Independent reports. Neurodegenerative diseases halt the production of key proteins, which in turn results in the unprotected brain cells dying off, and symptoms appearing. The compound blocks the faulty brain signal that causes the initial ""shutdown,"" thus basically flipping the switch from ""off"" back to ""on."" Proteins are produced, brain cells are protected, and symptoms are reversed. The mice in the study had prion disease, which is similar to a human neurodegenerative disorder. After receiving the compound, memory loss and other symptoms including impaired reflexes and limb dragging were reversed; the treated mice also lived longer than those who didn't receive the compound, Sky News reports. Though it's still a long way off, scientists think a treatment based on these findings could also help people with Parkinson's disease. Now the bad news: The mice did suffer side effects, including weight loss and diabetes. (In other Alzheimer's news, how well you can smell peanut butter could predict your risk of getting the disease.)",  ,3,"['', '', '']"
"– Electronic waste is growing at a staggering rate—Americans alone chucked an average of 65 pounds of old electronic goods each last year—and it is set to surge another 33% within five years unless consumers and producers change their ways, LiveScience reports. Most of the waste ends up in developing nations, and those countries plus the former Soviet bloc now produce more electronic waste of their own than Western nations, according to a new map that tracks the problem worldwide for the first time. The world produced around 54 million tons of electronic waste in total last year, researchers found, and though it can be valuable—a million old cell phones can yield 53 pounds of gold and 550 pounds of silver, Reuters notes—recycling rates remain low and where e-waste is recycled, it is often done so in a way harmful to both the environment and workers' health. The rate of waste is so high because engineers are constantly creating innovative designs to lure people to buy more, an earth sciences professor tells the Toronto Star. ""Why won’t these same smart people also find a way that electronics can be used longer or reused in the best way, too?”",  ,3,"['', '', '']"
"– Jay Leno has long said he lives off his standup money and takes the millions he gets paid for hosting the Tonight Show and sticks it right in the bank. So the news that Nikki Finke at Deadline Hollywood broke last night might not sting quite as much for him: One source tells her that Leno took a ""tremendous"" pay cut, and the LA Times confirms it was indeed ""significant."" The numbers require some guesswork, but the LAT thinks he went from somewhere between $25 million and $30 million down to about $20 million. Finke's numbers are higher. According to both accounts, Leno volunteered to take the cuts to save jobs, though at least 20 people got layoffs. Why the downsizing? Finke says it's not because of concerns about ratings or ad revenue, but because parent company Comcast is demanding cuts all around. She says the show is still a ""cash cow."" The LAT, meanwhile, says Leno's prime-time budget never got shaved when he moved back to later hours.", ,2,"['', '']"
"– A 17-year-old high school student in Idaho signed out of his senior prom at exactly 9:32pm Friday, but he never returned home—a lone shoe, his tux jacket, and a busted cellphone were found near the car he came in, KREM reports. Kristian Perez's family says no one's heard from him since he left the event Friday night, and local police say in a statement in the Idaho County Free Press that they've obtained a search warrant for his phone and are now scouring his call and text logs for possible clues. Cops say Kristian's mom reported him missing when he didn't come home after the prom, which was held at the National Guard Armory in Orofino. Per KLEW, a police dog-sniffing team tried to follow Kristian's scent, which apparently led west from the armory, but the scent vanished right at the entrance to a parking lot along the same highway the armory is located on. Investigators speculate Kristian may have gotten into a vehicle at that location. Cops say in the statement that a possible sighting of Kristian in Lewiston, about an hour away, came up empty after they reviewed a surveillance tape and concluded the person seen in the video wasn't the missing teen. (The wife of a teacher who's gone missing with a Tennessee teen has filed for divorce.)",  ,3,"['', '', '']"
"– Richard Dunn recently found himself stuck, apparently all alone, overnight at Las Vegas' McCarran Airport—so, naturally, he created an incredible music video of himself lip-syncing to Celine Dion's cover of ""All By Myself"" in various locations around the terminal. It even includes a shot of Dunn re-creating the iconic waterfall scene from Flashdance using a chair and a water bottle, UPI notes. Dunn explains, per Gawker, that his tools were his iPhone, a wheelchair with a tall pole on the back, a roll of luggage tape, his own computer bag, and the airport's escalators and moving walkways. He taped the iPhone to the pole or the extended handle of his computer bag, sometimes tucking ""different stuff under the bag to get the right angle,"" he says, and then placed it wherever he needed it to be, including the aforementioned escalators and walkways. ""For the escalator shot I had to sprint up the steps after I got my shot so the computer bag didn't hit the top and fall back down,"" he says. ""Quite fun!""", ,2,"['', '']"
"– Jon Huntsman is skipping next week's debate in Las Vegas to protest Nevada's decision to move up its caucuses to January, reports the Hill. Instead, Huntsman will host a town-hall meeting in New Hampshire. The Huntsman camp accuses Mitt Romney of encouraging the state to shift its caucus date to ""game the system."" Romney is expected to win in Nevada, and his rivals fear that if he racks up enough early victories, he will lock up the nomination. Huntsman's daughters weigh in on their Twitter feed: ""Dad boycotting Tuesday's Vegas debate to hold townhall in NH. Enough w/@mittromney and his campaign's attempts to rig the political process."""," – Jon Huntsman will skip tonight's GOP debate in Nevada—but Michele Bachmann will be there, and she's not happy about it, the Hill reports. ""I will not attend the debate because it is unfair to the people of Nevada,"" she tweeted this morning. ""And I will not stand idly by while President Obama and his failed economic agenda continue to destroy working families across the country."" Bachmann is also considering boycotting the Jan. 9 debate entirely, according to the Washington Post. ""The only way to stop President Obama's failed agenda is to stop him from winning a second term,"" she wrote. ""That's why I won't be participating in any debate until my concerns are heard.""",2,"['', '– Jon Huntsman will skip tonight\'s GOP debate in Nevada—but Michele Bachmann will be there, and she\'s not happy about it, the Hill reports. ""I will not attend the debate because it is unfair to the people of Nevada,"" she tweeted this morning. ""And I will not stand idly by while President Obama and his failed economic agenda continue to destroy working families across the country."" Bachmann is also considering boycotting the Jan. 9 debate entirely, according to the Washington Post. ""The only way to stop President Obama\'s failed agenda is to stop him from winning a second term,"" she wrote. ""That\'s why I won\'t be participating in any debate until my concerns are heard.""']"
